BCHAIN-ATRCT,BCHAIN-MWNUS,BCHAIN-DIFF,BCHAIN-MWNTD,BCHAIN-MWTRV,BCHAIN-AVBLS,BCHAIN-ETRAV,BCHAIN-BLCHS,BCHAIN-TOUTV,BCHAIN-NADDU,BCHAIN-NTRBL,BCHAIN-NTREP,BCHAIN-HRATE,BCHAIN-MIREV,BCHAIN-NTRAT,BCHAIN-CPTRA,BCHAIN-TRVOU,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-TRFUS,BCHAIN-NTRAN,BCHAIN-TRFEE,BCHAIN-TOTBC,BCHAIN-MKTCP,BCHAIN-MKPRU
10.925,23473433,3.00738E+12,34657,53045.69658,1.002853642,92256.7309,159487.1541,623927.2496,383191,1082.641892,155464,22125683.71,21145836.08,302811057,134.3582513,542742758.5,2.041548452,1054511194,382520.8819,160231,33.46586197,16900412.5,1.93175E+11,11430.18167
9.95,23446953,3.00738E+12,38405,53201.45281,0.976833517,91342.44597,159338.7318,789724.2894,416966,983.4666667,171396,26909615.32,25485633.75,302650826,146.3962386,663520514,2.504819938,1034631166,430013.9903,177024,37.96379904,16898562.5,1.91409E+11,11326.94833
11.65,23430781,3.00738E+12,44116,68621.58971,0.861064474,119142.8818,159162.9018,975776.2728,524246,1250.467949,188528,23321666.61,21569895.07,302473802,112.8979188,673860238.9,1.671953658,1317221659,464496.4666,195073,42.01376982,16896312.5,1.86803E+11,11055.815
11.225,23412916,3.00738E+12,52215,62796.36774,1.068240521,183325.6397,159028.5757,1322629.878,514904,1416.630303,227031,24667147.38,22728868.45,302278729,99.59593086,790675903.7,1.153442448,2018301937,573101.5759,233744,52.05574602,16894362.5,1.85996E+11,11009.38167
10.725,23389749,3.00738E+12,41246,61330.98795,1.0542164,201960.9736,158852.316,1383087.973,469400,1220.793548,182462,23172168.75,20144045.51,302044985,108.994016,871257588,0.984744257,2094368620,531980.0107,189223,51.29908837,16892300,1.75176E+11,10370.165
10.625,23369362,3.00738E+12,47950,57212.3755,1.01619215,139296.1683,158688.9125,945506.246,494787,1372.65,206374,23919658.06,21592349.97,301855762,100.4982862,820239742.2,1.472076233,1499367704,544068.9516,219624,50.54578675,16890362.5,1.81806E+11,10763.88333
12.6,23343286,3.00738E+12,41805,39595.29944,0.982314461,107085.7764,158526.3217,845197.4917,435989,1322.510638,176307,21079198.67,18260110.58,301636138,100.3754893,982054724.8,1.689010822,1108188222,478005.6244,186474,46.19035139,16888362.5,1.74771E+11,10348.60333
6.5,23325716,3.00738E+12,30379,33478.76606,0.710161316,76301.01273,158387.8154,605383.3206,355805,847.1871345,140109,25564134.55,20726468.25,301449664,145.8441828,619244270.7,2.85571649,739859891.4,401832.6751,144869,41.44060303,16886600,1.63742E+11,9696.593333
14.75,23297610,3.00738E+12,32952,39609.63502,1.027894041,167742.7581,158266.3778,746134.7536,355221,1065.751724,147767,21677190.12,18033349.18,301304795,119.7768335,814952720.4,1.137818222,1626761888,932047.9457,154534,96.10766905,16884462.5,1.63745E+11,9697.956
12.675,23282242,3.00738E+12,39850,44912.73504,1.006292973,176140.0618,158117.3332,1010312.596,424502,1251.304054,177105,22125683.71,19145427.8,301150261,105.5730244,1156539786,1.092283088,1789955858,751469.2798,185193,73.94810594,16882650,1.71563E+11,10162.11667
9.116666667,23262450,3.00738E+12,40156,48766.8448,0.918956356,252887.9253,157968.4018,1494875.802,499533,1229.765101,176840,22275181.57,18506552.05,300965068,102.9827894,1395055529,0.751361389,2511448109,373430.4276,183235,37.60222865,16880800,1.67644E+11,9931.071667
6.883333333,23239524,3.00738E+12,45683,51211.10006,0.985094627,145459.8546,157831.4773,1325803.34,459675,1214.207101,197610,25265138.83,22261055.19,300781833,110.521018,1601103156,1.480258985,1532098344,428501.0091,205201,40.68256761,16878937.5,1.77782E+11,10532.79167
